ventile,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
v1,4.3,3.6,3.3,3.6,4,5.2,5.8,7.2,7.7,8.6,9.1,9.4,9.5,9.5,9.6,9.7,9.6,9.5
v2,10.4,9.8,9.6,9.4,9.6,10,10.3,10.8,11.2,11.7,11.8,11.7,11.6,11.6,11.5,11.6,11.4,11.1
v3,14.1,13.6,13.5,13.2,13.3,13.8,14.2,14.7,15.1,15.6,15.9,15.6,15.5,15.3,15.2,15.2,14.9,14.4
v4,17.4,16.9,16.9,16.7,16.8,17.2,17.6,18,18.3,18.8,19,19,19.1,18.7,18.4,18.4,17.9,17.4
v5,20.1,19.7,19.7,19.6,19.7,20,20.4,20.9,21.3,21.8,22,21.9,21.7,21.3,21.1,21.2,20.7,20.2
v6,22.9,22.3,22.3,22.2,22.3,22.6,22.9,23.3,23.4,23.9,24.1,24.1,24,23.5,23.2,23.3,22.9,22.3
v7,25.5,24.9,24.8,24.7,24.8,24.9,25.2,25.7,25.6,26.1,26.3,26.5,26.4,25.8,25.2,25.4,25.1,24.5
v8,27.9,27.3,27.3,27.3,27.3,27.3,27.7,28.2,28,28.3,28.6,28.6,28.5,27.9,27.7,27.8,27.3,26.8
v9,30.5,29.9,29.9,29.7,29.8,29.9,29.8,30.2,29.9,30.2,30.3,30.4,30.3,29.7,29.4,29.9,29.2,28.6
v10,33.3,32.6,32.5,32.3,32.3,32.3,32.4,32.7,32.1,32.5,32.6,32.4,32.5,31.9,31.5,31.8,31.4,30.8
v11,36,35.3,35.2,35,35.1,35,35.1,35.3,34.7,34.9,34.7,34.7,34.8,34.1,33.7,34.1,33.6,33.1
v12,38.8,38.1,38.2,38.1,38.1,37.9,37.9,38.3,37.1,36.9,37,36.8,36.9,36.1,35.8,36.2,35.8,35.3
v13,41.9,41.1,41.2,41.4,41.2,40.9,40.7,41,39.6,39.4,38.9,38.9,38.9,38.1,37.8,38.1,38,37.5
v14,45.3,44.5,44.5,44.7,44.6,44.3,44.1,44.4,42.9,42.7,42.7,42.2,42.3,41.2,40.8,41.2,41.2,40.7
v15,49.5,48.7,48.8,49,48.8,48.4,48.2,48.4,46.5,46.3,45.8,45,45.1,43.7,43.4,44.1,43.8,43.4
v16,54.2,53.5,53.4,53.9,53.7,53,53.1,53.3,50.7,50,49.9,49.4,49.2,48,47.4,48.3,48.3,47.9
v17,60.9,60.1,59.9,60.3,60.4,59.6,59.2,59.5,56.5,55.8,55,54.1,53.8,52.9,52.5,53.4,53.2,52.9
v18,70.5,69.7,69.3,70,70.1,68.3,68.2,68.3,63.7,62,61.1,60.5,60.8,59.5,59.6,60.6,60.8,60.1
v19,89.6,87.5,86.4,86.5,87.8,85.7,85.7,85.7,77.7,73.6,72.6,71.1,70.7,69.6,69.5,71.2,70.3,70.6
v20,162.6,151.9,147,149.4,153.2,146.4,147.7,148.5,124.4,111,111.4,107.4,109.7,103.4,105.6,107.2,105.9,108.5
