label,pc_agi_ventile,TAX_YR,adjusted25,adjusted_median,adjusted75,age,units
Total income,1.0,2000,0.76,4.3500000000000005,7.82,55,thousands of dollars
Total income,2.0,2000,7.930000000000001,10.5,14.0,55,thousands of dollars
Total income,3.0,2000,12.0,14.8,18.6,55,thousands of dollars
Total income,4.0,2000,15.8,18.7,22.900000000000002,55,thousands of dollars
Total income,5.0,2000,19.3,22.3,26.6,55,thousands of dollars
Total income,6.0,2000,22.8,26.1,30.6,55,thousands of dollars
Total income,7.0,2000,26.1,29.5,34.2,55,thousands of dollars
Total income,8.0,2000,29.3,32.7,37.800000000000004,55,thousands of dollars
Total income,9.0,2000,32.5,36.1,41.300000000000004,55,thousands of dollars
Total income,10.0,2000,35.800000000000004,39.7,45.0,55,thousands of dollars
Total income,11.0,2000,39.2,43.300000000000004,49.2,55,thousands of dollars
Total income,12.0,2000,42.6,47.1,53.5,55,thousands of dollars
Total income,13.0,2000,46.6,51.300000000000004,58.1,55,thousands of dollars
Total income,14.0,2000,51.1,56.0,63.5,55,thousands of dollars
Total income,15.0,2000,55.9,61.800000000000004,69.7,55,thousands of dollars
Total income,16.0,2000,61.800000000000004,68.1,77.60000000000001,55,thousands of dollars
Total income,17.0,2000,69.7,77.2,87.60000000000001,55,thousands of dollars
Total income,18.0,2000,79.9,90.60000000000001,104.2,55,thousands of dollars
Total income,19.0,2000,99.2,116.10000000000001,139.4,55,thousands of dollars
Total income,20.0,2000,156.9,220.6,374.1,55,thousands of dollars
Total income,1.0,2001,0.5700000000000001,3.64,6.51,56,thousands of dollars
Total income,2.0,2001,7.7,9.85,12.200000000000001,56,thousands of dollars
Total income,3.0,2001,11.8,14.3,16.8,56,thousands of dollars
Total income,4.0,2001,15.8,18.3,21.1,56,thousands of dollars
Total income,5.0,2001,19.2,21.900000000000002,24.8,56,thousands of dollars
Total income,6.0,2001,22.8,25.400000000000002,28.5,56,thousands of dollars
Total income,7.0,2001,25.900000000000002,28.8,32.0,56,thousands of dollars
Total income,8.0,2001,29.0,32.0,35.4,56,thousands of dollars
Total income,9.0,2001,32.3,35.4,38.9,56,thousands of dollars
Total income,10.0,2001,35.7,38.800000000000004,42.6,56,thousands of dollars
Total income,11.0,2001,38.800000000000004,42.4,46.5,56,thousands of dollars
Total income,12.0,2001,42.5,46.1,50.300000000000004,56,thousands of dollars
Total income,13.0,2001,46.300000000000004,50.300000000000004,54.800000000000004,56,thousands of dollars
Total income,14.0,2001,50.800000000000004,55.0,59.7,56,thousands of dollars
Total income,15.0,2001,56.0,60.5,66.1,56,thousands of dollars
Total income,16.0,2001,61.9,67.3,73.60000000000001,56,thousands of dollars
Total income,17.0,2001,69.8,76.4,83.9,56,thousands of dollars
Total income,18.0,2001,80.7,89.3,99.5,56,thousands of dollars
Total income,19.0,2001,98.9,113.10000000000001,130.8,56,thousands of dollars
Total income,20.0,2001,151.0,205.0,331.8,56,thousands of dollars
Total income,1.0,2002,0.43,3.33,6.11,57,thousands of dollars
Total income,2.0,2002,7.43,9.56,11.6,57,thousands of dollars
Total income,3.0,2002,11.5,14.0,16.2,57,thousands of dollars
Total income,4.0,2002,15.4,18.0,20.2,57,thousands of dollars
Total income,5.0,2002,18.8,21.6,23.8,57,thousands of dollars
Total income,6.0,2002,22.1,25.0,27.5,57,thousands of dollars
Total income,7.0,2002,25.2,28.3,30.8,57,thousands of dollars
Total income,8.0,2002,28.3,31.5,34.1,57,thousands of dollars
Total income,9.0,2002,31.6,34.9,37.9,57,thousands of dollars
Total income,10.0,2002,34.7,38.300000000000004,41.2,57,thousands of dollars
Total income,11.0,2002,38.2,41.7,45.1,57,thousands of dollars
Total income,12.0,2002,41.5,45.6,49.0,57,thousands of dollars
Total income,13.0,2002,45.5,49.7,53.300000000000004,57,thousands of dollars
Total income,14.0,2002,49.9,54.5,58.4,57,thousands of dollars
Total income,15.0,2002,54.800000000000004,60.1,64.7,57,thousands of dollars
Total income,16.0,2002,60.9,66.6,71.8,57,thousands of dollars
Total income,17.0,2002,68.2,75.3,81.5,57,thousands of dollars
Total income,18.0,2002,78.60000000000001,88.2,97.0,57,thousands of dollars
Total income,19.0,2002,96.0,110.9,127.5,57,thousands of dollars
Total income,20.0,2002,147.70000000000002,196.6,319.2,57,thousands of dollars
Total income,1.0,2003,0.6,3.64,6.29,58,thousands of dollars
Total income,2.0,2003,7.140000000000001,9.450000000000001,11.5,58,thousands of dollars
Total income,3.0,2003,11.1,13.6,15.9,58,thousands of dollars
Total income,4.0,2003,14.8,17.6,20.0,58,thousands of dollars
Total income,5.0,2003,18.2,21.3,23.8,58,thousands of dollars
Total income,6.0,2003,21.400000000000002,24.7,27.3,58,thousands of dollars
Total income,7.0,2003,24.3,27.900000000000002,30.6,58,thousands of dollars
Total income,8.0,2003,27.400000000000002,31.3,34.1,58,thousands of dollars
Total income,9.0,2003,30.400000000000002,34.300000000000004,37.4,58,thousands of dollars
Total income,10.0,2003,33.6,37.7,40.800000000000004,58,thousands of dollars
Total income,11.0,2003,36.4,41.1,44.5,58,thousands of dollars
Total income,12.0,2003,40.1,45.1,48.7,58,thousands of dollars
Total income,13.0,2003,44.0,49.2,53.300000000000004,58,thousands of dollars
Total income,14.0,2003,48.1,53.9,58.0,58,thousands of dollars
Total income,15.0,2003,53.300000000000004,59.5,64.3,58,thousands of dollars
Total income,16.0,2003,59.1,65.9,71.60000000000001,58,thousands of dollars
Total income,17.0,2003,66.2,74.60000000000001,81.60000000000001,58,thousands of dollars
Total income,18.0,2003,75.9,87.5,97.2,58,thousands of dollars
Total income,19.0,2003,92.8,109.3,126.2,58,thousands of dollars
Total income,20.0,2003,141.70000000000002,194.6,318.1,58,thousands of dollars
Total income,1.0,2004,0.75,4.0200000000000005,6.88,59,thousands of dollars
Total income,2.0,2004,7.19,9.71,12.0,59,thousands of dollars
Total income,3.0,2004,11.0,13.700000000000001,16.5,59,thousands of dollars
Total income,4.0,2004,14.5,17.8,20.400000000000002,59,thousands of dollars
Total income,5.0,2004,17.7,21.3,24.2,59,thousands of dollars
Total income,6.0,2004,20.8,24.6,27.900000000000002,59,thousands of dollars
Total income,7.0,2004,23.5,27.900000000000002,31.2,59,thousands of dollars
Total income,8.0,2004,26.5,31.2,34.9,59,thousands of dollars
Total income,9.0,2004,29.6,34.4,38.1,59,thousands of dollars
Total income,10.0,2004,32.6,37.6,41.300000000000004,59,thousands of dollars
Total income,11.0,2004,35.4,41.2,45.5,59,thousands of dollars
Total income,12.0,2004,38.9,45.1,49.6,59,thousands of dollars
Total income,13.0,2004,42.4,49.0,54.0,59,thousands of dollars
Total income,14.0,2004,47.0,53.7,58.800000000000004,59,thousands of dollars
Total income,15.0,2004,51.2,59.1,65.4,59,thousands of dollars
Total income,16.0,2004,56.7,65.6,72.60000000000001,59,thousands of dollars
Total income,17.0,2004,64.4,74.60000000000001,82.7,59,thousands of dollars
Total income,18.0,2004,73.9,87.10000000000001,98.5,59,thousands of dollars
Total income,19.0,2004,91.10000000000001,110.9,130.8,59,thousands of dollars
Total income,20.0,2004,137.5,199.4,338.6,59,thousands of dollars
Total income,1.0,2005,1.62,5.15,9.34,60,thousands of dollars
Total income,2.0,2005,7.54,10.1,13.4,60,thousands of dollars
Total income,3.0,2005,11.1,14.200000000000001,18.2,60,thousands of dollars
Total income,4.0,2005,14.3,18.1,22.2,60,thousands of dollars
Total income,5.0,2005,17.5,21.5,25.8,60,thousands of dollars
Total income,6.0,2005,20.3,24.8,29.400000000000002,60,thousands of dollars
Total income,7.0,2005,22.900000000000002,27.900000000000002,32.6,60,thousands of dollars
Total income,8.0,2005,25.8,31.0,36.300000000000004,60,thousands of dollars
Total income,9.0,2005,28.6,34.300000000000004,39.7,60,thousands of dollars
Total income,10.0,2005,31.1,37.300000000000004,42.5,60,thousands of dollars
Total income,11.0,2005,34.1,40.800000000000004,47.0,60,thousands of dollars
Total income,12.0,2005,37.300000000000004,44.6,50.7,60,thousands of dollars
